tag,epochs,lr,seed,final_loss,panel,loss_curve,meta_path
solid_gray,800,0.05,42,0.13859222829341888,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_solid_gray_panel.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_solid_gray_loss_curve.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/attack_run_1/attack1_solid_gray_meta.json
nature,800,0.05,42,0.22389931976795197,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_nature_panel.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_nature_loss_curve.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/attack_run_1/attack1_nature_meta.json
checkerboard,800,0.05,42,0.22406060993671417,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_checkerboard_panel.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_checkerboard_loss_curve.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/attack_run_1/attack1_checkerboard_meta.json
circles,800,0.05,42,0.341625839471817,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_circles_panel.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/figures/attack1_circles_loss_curve.png,/content/drive/MyDrive/UCRNLP_YueDong_Screening/03_outputs/attack_run_1/attack1_circles_meta.json
